日期,銀行,幣別代碼,現金買入,現金賣出,即期買入,即期賣出
2025-10-03,永豐銀行,MOP,-,3.7175,3.8493,-
2025-10-03,永豐銀行,CNY,-,4.2216,4.2811,4.1396
2025-10-03,永豐銀行,CNH,-,4.2216,4.2720,-
2025-10-03,玉山銀行,USD,30.325,30.425,30.075,30.625
2025-10-03,玉山銀行,CNY,4.233,4.283,4.187,4.347
2025-10-03,玉山銀行,HKD,3.870,3.930,3.800,3.960
2025-10-03,玉山銀行,JPY,0.20395,0.20805,0.2030,0.2100
2025-10-03,玉山銀行,EUR,35.495,35.895,35.195,36.195
2025-10-03,玉山銀行,AUD,19.975,20.195,19.675,20.475
2025-10-03,玉山銀行,CAD,21.685,21.865,21.375,22.175
2025-10-03,玉山銀行,GBP,40.765,41.165,40.455,41.455
2025-10-03,玉山銀行,ZAR,1.711,1.811,-,-
2025-10-03,玉山銀行,NZD,17.605,17.845,-,-
2025-10-03,玉山銀行,CHF,38.045,38.305,-,-
2025-10-03,玉山銀行,SEK,3.209,3.269,-,-
2025-10-03,玉山銀行,SGD,23.4975,23.6575,-,-
2025-10-03,玉山銀行,MXN,1.609,1.689,-,-
2025-10-03,玉山銀行,THB,0.921,0.961,-,-
2025-10-03,國泰世華,USD,30.3450,30.4650,30.3750,30.4350
2025-10-03,國泰世華,EUR,35.4250,35.9250,35.4850,35.8650
2025-10-03,國泰世華,JPY,0.2036,0.2086,0.2046,0.2076
2025-10-03,國泰世華,CNY,4.2165,4.2915,4.2265,4.2815
2025-10-03,國泰世華,HKD,3.8695,3.9395,3.8795,3.9295
2025-10-03,國泰世華,AUD,19.9350,20.1950,19.9650,20.1450
2025-10-03,國泰世華,NZD,17.5750,17.8750,17.5950,17.8550
2025-10-03,國泰世華,ZAR,1.7020,1.8220,1.7070,1.8170
2025-10-03,國泰世華,CAD,21.5850,21.9850,21.6150,21.9550
2025-10-03,國泰世華,GBP,40.6550,41.2750,40.7150,41.1750
2025-10-03,國泰世華,CHF,37.9475,38.4675,37.9775,38.4375
2025-10-03,國泰世華,SEK,3.1845,3.3045,3.1945,3.2945
2025-10-03,國泰世華,SGD,23.4275,23.7275,23.4575,23.6975
2025-10-03,國泰世華,THB,0.90875,0.96875,0.91175,0.96575
2025-10-03,國泰世華,DKK,4.6925,4.8525,4.7025,4.8425
2025-10-03,國泰世華,TRY,0.3680,1.0880,0.3980,1.0580
2025-10-03,台新銀行,USD,-,30.2840,30.4440,30.1120
2025-10-03,台新銀行,JPY,-,0.2038,0.2073,0.2018
2025-10-03,台新銀行,CNY,-,4.2296,4.2756,4.1606
2025-10-03,台新銀行,EUR,-,35.4820,35.8320,35.1590
2025-10-03,台新銀行,HKD,-,3.8763,3.9263,3.8313
2025-10-03,台新銀行,AUD,-,19.9430,20.1630,19.6710
2025-10-03,台新銀行,CAD,-,21.6440,21.8840,21.3540
2025-10-03,台新銀行,NZD,-,17.5850,17.8250,17.3900
2025-10-03,台新銀行,SGD,-,23.4310,23.6910,23.1310
2025-10-03,台新銀行,CHF,-,37.9830,38.3630,-
2025-10-03,台新銀行,GBP,-,40.7090,41.1490,-
2025-10-03,台新銀行,SEK,-,3.2078,3.2678,-
2025-10-03,台新銀行,ZAR,-,1.7224,1.8024,-
2025-10-03,台新銀行,THB,-,0.919,0.955,-
2025-10-04,台北富邦,USD,30.3100,30.4700,30.0500,30.7020
2025-10-04,台北富邦,CNY,4.2300,4.2900,4.0950,4.3220
2025-10-04,台北富邦,JPY,0.2037,0.2087,0.2010,0.2113
2025-10-04,台北富邦,EUR,35.4460,35.9660,35.0812,36.3342
2025-10-04,台北富邦,HKD,3.8674,3.9454,3.8014,3.9854
2025-10-04,台北富邦,AUD,19.9074,20.2874,19.6474,20.5474
2025-10-04,台北富邦,ZAR,1.7056,1.8256,-,-
2025-10-04,台北富邦,CAD,21.5850,21.9850,21.2800,22.2980
2025-10-04,台北富邦,GBP,40.6619,41.2919,-,-
2025-10-04,台北富邦,SGD,23.4043,23.7843,-,-
2025-10-04,台北富邦,CHF,37.9848,38.5048,-,-
2025-10-04,台北富邦,NZD,17.5488,17.9288,-,-
2025-10-04,台北富邦,SEK,3.1894,3.3094,-,-
2025-10-04,台北富邦,THB,0.9101,0.9701,-,-
2025-10-04,元大銀行,USD,30.3400,30.4760,30.0900,30.7140
